C;Fold;Accuracy;Precision;Recall;F Measure
0.5;;0.80539;0.82043;0.76914;0.78336
1.0;;0.80981;0.81531;0.78487;0.79118
1.5;;0.80914;0.8195;0.7826;0.79221
2.0;;0.80468;0.81654;0.77823;0.78841
2.5;;0.80468;0.81654;0.77823;0.78841
3.0;;0.80468;0.81654;0.77823;0.78841
