Tol;Accuracy;Precision;Recall;F Measure
0.0001;0.66379;0.63968;0.62192;0.61159
0.0005;0.66379;0.63968;0.62192;0.61159
0.001;0.66379;0.63968;0.62192;0.61159
0.005;0.66379;0.63942;0.62192;0.61158
0.01;0.66379;0.63975;0.62192;0.61166
0.05;0.66228;0.6365;0.61992;0.60897
0.1;0.66305;0.6371;0.61992;0.60833
0.5;0.66376;0.63336;0.62392;0.61018
